title,content,label
Melocalamus scandens,Melocalamus scandens là một loài thực vật có hoa trong họ Hòa thảo . Loài này được Hsueh & C.M.Hui mô tả khoa học đầu tiên năm 1992. [1],0
Paleauletobius silenus,Paleauletobius silenus là một loài bọ cánh cứng trong họ Rhynchitidae . Loài này được Heer miêu tả khoa học năm 1847. [1],0
Zoodes hirsutus,Zoodes hirsutus là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
Quốc kỳ Argentina,"Quốc kỳ Argentina ( tiếng Tây Ban Nha : Bandera de la Argentina ) là biểu tượng của nhà nước và quốc gia Argentina . Nó có ba dải màu nằm ngang kích thước bang nhau : màu xanh biển nhạt, màu trắng , màu xanh biển nhạt. Có nhiều cách giải thích về lý do cho những màu sắc. Lá cờ này được Manuel Belgrano tạo ra, phù hợp với việc tạo ra gần đây của phù hiệu ở mũ của Argentina , và lần đầu tiên được đưa ra tại thành phố Rosario vào 27 tháng 2 năm 1812, trong cuộc chiến tranh độc lập Argentina . Lá cờ nghi lễ quốc gia sau đó đã được thiết kế tại địa điểm này. Bộ ba đầu tiên đã không chấp nhận việc sử dung thiết kế lá cờ này, nhưng Asamblea del Ano XIII cho phép sử dụng của lá cờ như một lá cờ chiến tranh . Chính tại Đại hộ i Tucumán cuối cùng đã được chỉ định thiết kế này là lá cờ quốc gia vào năm 1816 . Một mặt trời màu vàng được thêm vào trung tâm vào năm 1818. Lá cờ đầy đủ có mặt trời được gọi là chính thức, lá cờ nghi lễ (tiếng Tây Ban Nha: Bandera Oficial de Ceremonia). Lá cờ không có ánh nắng mặt trời được coi là là cờ trang trí (Bandera de Ornato). Trong khi cả hai phiên bản đều được coi là lá cờ quốc gia ngang nhau, phiên bản cờ trang trí luôn luôn được treo dưới cờ lễ nghi chính thức. Về mặt quốc kỳ , cờ lễ nghi chính thức là cơ dân sự , nhà nước và chiến tranh , trong khi cờ trang trí là một lá cờ dân sự .",3
Dundahera,"Dundahera là một thị trấn thống kê ( census town ) của quận Gurgaon thuộc bang Haryana , Ấn Độ .",1
Nạn khan hiếm nhu yếu phẩm tại Venezuela,"Nạn khan hiếm nhu yếu phẩm tại Venezuela ( tiếng Tây Ban Nha : Escasez en Venezuela ; tiếng Anh : Shortages in Venezuela, 2016 ) được cho là hậu quả trực tiếp của sự sụt giảm giá dầu hỏa trong năm 2015 và gián tiếp là các quyết sách kinh tế tập trung của tổng thống Hugo Chávez cũng như người kế nhiệm Nicolás Maduro . Các lực lượng chính trị đối lập đã chỉ trích gay gắt thói quen lệ thuộc ngành xuất khẩu dầu hỏa của đảng cầm quyền. Sự thiếu hụt trầm trọng mọi dụng phẩm thiết yếu cũng gây nên tình trạng bạo loạn chưa từng có trên toàn lãnh thổ Venezuela , buộc nhà chức trách phải điều động quân lực nhằm bảo vệ các chuyến xe chở thực phẩm khỏi nguy cơ cướp phá, đồng thời phải bỏ ngỏ giới tuyến với đối thủ Colombia để đáp ứng một phần nhu cầu thu mua hàng hóa của dân chúng.",1
Siphocampylus imbricatus,Siphocampylus imbricatus là loài thực vật có hoa trong họ Hoa chuông . Loài này được (Cham.) G.Don miêu tả khoa học đầu tiên năm 1834. [1],0
Archidendron royenii,Archidendron royenii là một loài thực vật có hoa trong họ Đậu . Loài này được Kosterm. miêu tả khoa học đầu tiên. [1],0
Agylla vittata,"Agylla vittata là một loài bướm đêm thuộc phân họ Arctiinae , họ Erebidae . [2]",0
"Laurens, Hérault",Laurens là một xã thuộc tỉnh Hérault trong vùng Occitanie phía nam nước Pháp . Xã này nằm ở khu vực có độ cao trung bình 140 mét trên mực nước biển . Dân số thời điểm năm 1999 là 932 người.,1
Quercus arizonica,Quercus arizonica là một loài thực vật có hoa trong họ Cử . Loài này được Sarg. miêu tả khoa học đầu tiên năm 1895. [2],0
Eucera paraclypeata,Eucera paraclypeata là một loài Hymenoptera trong họ Apidae . Loài này được Sitdikov mô tả khoa học năm 1988. [1],0
Demonax dohertii,Demonax dohertii là một loài bọ cánh cứng trong họ Cerambycidae . [1],0
2553 Viljev,2553 Viljev là một tiểu hành tinh vành đai chính với chu kỳ quỹ đạo là 1979.9393644 ngày (5.42 năm). [1],0
