title,content,label
Melocalamus scandens,Melocalamus scandens là một loài thực vật có hoa trong họ Hòa thảo . Loài này được Hsueh & C.M.Hui mô tả khoa học đầu tiên năm 1992. [1],1
Paleauletobius silenus,Paleauletobius silenus là một loài bọ cánh cứng trong họ Rhynchitidae . Loài này được Heer miêu tả khoa học năm 1847. [1],1
Zoodes hirsutus,Zoodes hirsutus là một loài bọ cánh cứng trong họ Cerambycidae . [1],1
Quốc kỳ Argentina,"Quốc kỳ Argentina ( tiếng Tây Ban Nha : Bandera de la Argentina ) là biểu tượng của nhà nước và quốc gia Argentina . Nó có ba dải màu nằm ngang kích thước bang nhau : màu xanh biển nhạt, màu trắng , màu xanh biển nhạt. Có nhiều cách giải thích về lý do cho những màu sắc. Lá cờ này được Manuel Belgrano tạo ra, phù hợp với việc tạo ra gần đây của phù hiệu ở mũ của Argentina , và lần đầu tiên được đưa ra tại thành phố Rosario vào 27 tháng 2 năm 1812, trong cuộc chiến tranh độc lập Argentina . Lá cờ nghi lễ quốc gia sau đó đã được thiết kế tại địa điểm này. Bộ ba đầu tiên đã không chấp nhận việc sử dung thiết kế lá cờ này, nhưng Asamblea del Ano XIII cho phép sử dụng của lá cờ như một lá cờ chiến tranh . Chính tại Đại hộ i Tucumán cuối cùng đã được chỉ định thiết kế này là lá cờ quốc gia vào năm 1816 . Một mặt trời màu vàng được thêm vào trung tâm vào năm 1818. Lá cờ đầy đủ có mặt trời được gọi là chính thức, lá cờ nghi lễ (tiếng Tây Ban Nha: Bandera Oficial de Ceremonia). Lá cờ không có ánh nắng mặt trời được coi là là cờ trang trí (Bandera de Ornato). Trong khi cả hai phiên bản đều được coi là lá cờ quốc gia ngang nhau, phiên bản cờ trang trí luôn luôn được treo dưới cờ lễ nghi chính thức. Về mặt quốc kỳ , cờ lễ nghi chính thức là cơ dân sự , nhà nước và chiến tranh , trong khi cờ trang trí là một lá cờ dân sự .",4
Dundahera,"Dundahera là một thị trấn thống kê ( census town ) của quận Gurgaon thuộc bang Haryana , Ấn Độ .",2
Nạn khan hiếm nhu yếu phẩm tại Venezuela,"Nạn khan hiếm nhu yếu phẩm tại Venezuela ( tiếng Tây Ban Nha : Escasez en Venezuela ; tiếng Anh : Shortages in Venezuela, 2016 ) được cho là hậu quả trực tiếp của sự sụt giảm giá dầu hỏa trong năm 2015 và gián tiếp là các quyết sách kinh tế tập trung của tổng thống Hugo Chávez cũng như người kế nhiệm Nicolás Maduro . Các lực lượng chính trị đối lập đã chỉ trích gay gắt thói quen lệ thuộc ngành xuất khẩu dầu hỏa của đảng cầm quyền. Sự thiếu hụt trầm trọng mọi dụng phẩm thiết yếu cũng gây nên tình trạng bạo loạn chưa từng có trên toàn lãnh thổ Venezuela , buộc nhà chức trách phải điều động quân lực nhằm bảo vệ các chuyến xe chở thực phẩm khỏi nguy cơ cướp phá, đồng thời phải bỏ ngỏ giới tuyến với đối thủ Colombia để đáp ứng một phần nhu cầu thu mua hàng hóa của dân chúng.",2
Siphocampylus imbricatus,Siphocampylus imbricatus là loài thực vật có hoa trong họ Hoa chuông . Loài này được (Cham.) G.Don miêu tả khoa học đầu tiên năm 1834. [1],1
Archidendron royenii,Archidendron royenii là một loài thực vật có hoa trong họ Đậu . Loài này được Kosterm. miêu tả khoa học đầu tiên. [1],1
Agylla vittata,"Agylla vittata là một loài bướm đêm thuộc phân họ Arctiinae , họ Erebidae . [2]",1
"Laurens, Hérault",Laurens là một xã thuộc tỉnh Hérault trong vùng Occitanie phía nam nước Pháp . Xã này nằm ở khu vực có độ cao trung bình 140 mét trên mực nước biển . Dân số thời điểm năm 1999 là 932 người.,2
Quercus arizonica,Quercus arizonica là một loài thực vật có hoa trong họ Cử . Loài này được Sarg. miêu tả khoa học đầu tiên năm 1895. [2],1
Eucera paraclypeata,Eucera paraclypeata là một loài Hymenoptera trong họ Apidae . Loài này được Sitdikov mô tả khoa học năm 1988. [1],1
Demonax dohertii,Demonax dohertii là một loài bọ cánh cứng trong họ Cerambycidae . [1],1
2553 Viljev,2553 Viljev là một tiểu hành tinh vành đai chính với chu kỳ quỹ đạo là 1979.9393644 ngày (5.42 năm). [1],1
Asplenium loriforme,Asplenium loriforme là một loài dương xỉ trong họ Aspleniaceae . Loài này được Hook. mô tả khoa học đầu tiên năm 1854. [1] Danh pháp khoa học của loài này chưa được làm sáng tỏ.,1
Chromis nigroanalis,Chromis nigroanalis là một loài cá biển thuộc chi Chromis trong họ Cá thia . Loài này được mô tả lần đầu tiên vào năm 1988 .,1
Fontevivo,"Fontevivo là một đô thị ở tỉnh Parma ở vùng Emilia-Romagna của Italia , tọa lạc cách khoảng 100 km về phía tây bắc của Bologna và khoảng 14 km về phía tây bắc của Parma . Đến thời điểm ngày 31 tháng 12 năm 2004 , đô thị này có dân số 5.337 và diện tích là 25,9 km². [1]",2
Ustyansky (huyện),"Huyện Ustyansky ( tiếng Nga : ? райо́н ) là một huyện hành chính [1] tự quản [2] ( raion ), của Tỉnh Arkhangelsk , Nga . Huyện có diện tích 10522 km² , dân số thời điểm ngày 1 tháng 1 năm 2000 là 42000 người. Trung tâm của huyện đóng ở Oktyabr'skyy . [5]",2
Exocentrus neopomerianus,Exocentrus neopomerianus là một loài bọ cánh cứng trong họ Cerambycidae . [1],1
Seine-et-Marne,"Seine-et-Marne là một tỉnh của Pháp , thuộc vùng hành chính Île-de-France , tỉnh lỵ Melun , bao gồm 5 quận với các quận lỵ còn lại là: Fontainebleau , Meaux , Provins , Torcy .",2
Samsung S8000,"Samsung Jet (còn được gọi là Samsung S8000 ), là điện thoại cảm ứng phát hành vào tháng 6 năm 2009 bởi Samsung . [1] [2] [3] Nó có vi xử lý 800 MHz và trình duyệt Web mới gọi là Dolfin, nó sẽ có sẵn trên điện thoại Samsung vào tương lai. [4]",3
Asmate kurilata,Asmate kurilata là một loài bướm đêm trong họ Geometridae . [1],1
Erica barnettiana,Erica barnettiana là một loài thực vật có hoa trong họ Thạch nam . Loài này được Dorr & E.G.H.Oliv. mô tả khoa học đầu tiên năm 1999. [1],1
Poecilostachys,Poecilostachys là một chi thực vật có hoa trong họ Hòa thảo (Poaceae). [1],1
Trychosis suigensis,Trychosis suigensis là một loài tò vò trong họ Ichneumonidae . [1],1
Leionema phylicifolium,Leionema phylicifolium là một loài thực vật có hoa trong họ Cửu lý hương . Loài này được (F. Muell.) Paul G. Wilson mô tả khoa học đầu tiên năm 1998. [1],1
Trần Quốc Tảng,"Hưng Nhượng vương Trần Quốc Tảng ( chữ Hán : 興讓王陳國顙, 1252 - 1313) một tông thất hoàng gia, tướng lĩnh quân sự Đại Việt thời Trần . Ông là con trai thứ hai của Hưng Đạo đại vương Trần Quốc Tuấn và Thiên Thành Trưởng công chúa . Ông đã cùng cha chỉ huy quân dân đánh quân Nguyên xâm lược vào thời Trần Nhân Tông .",2
Itambacuri,"Itambacuri là một đô thị thuộc bang Minas Gerais , Brasil . Đô thị này có diện tích 1418,619 km², dân số năm 2007 là 23338 người, mật độ 16,7 người/km². [1] [2]",2
Rot (toán tử),"Trong giải tích vector , toán tử rot (vài nơi còn gọi là curl) là một toán tử vector mô tả độ xoáy của một trường vector . Tại bất kì điểm nào trên trường vector, rot được biểu thị bằng một vector . Các thuộc tính của vector này (độ dài và hướng) nói lên bản chất của độ xoáy tại điểm đó.",1
